Branch,Date,num_employees,total_work_hours,avg_work_hours,weekend,work_hours_per_employee,employees_per_work_hour,VAT_11_Percent,Total_Revenue,revenue_share_overall,revenue_rank,revenue_percentile,revenue_tier,vat_to_revenue_ratio,avg_monthly_sales,max_monthly_sales,min_monthly_sales,std_monthly_sales,avg_monthly_growth
Conut - Tyre,2025-12-01,3,25.62,8.540000000000001,0,8.540000000000001,0.1170960187353629,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-02,3,23.93,5.9825,0,7.976666666666667,0.1253656498119515,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-03,3,31.17,10.39,0,10.39,0.0962463907603464,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-04,3,25.5,8.5,0,8.5,0.1176470588235294,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-05,4,31.91,7.9775,0,7.9775,0.1253525540582889,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-06,4,33.45,8.3625,1,8.3625,0.1195814648729446,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-07,3,26.86,8.953333333333333,1,8.953333333333333,0.1116902457185405,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-08,3,35.849999999999994,11.949999999999998,0,11.949999999999998,0.0836820083682008,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-09,3,26.86,8.953333333333333,0,8.953333333333333,0.1116902457185405,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-10,3,28.23,7.0575,0,9.41,0.106269925611052,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-11,2,13.57,6.785,0,6.785,0.1473839351510685,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-12,3,18.81,6.2700000000000005,0,6.27,0.1594896331738437,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-13,4,21.89,5.4725,1,5.4725,0.1827318410232983,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-14,4,29.51,7.377499999999999,1,7.3775,0.1355472721111487,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-15,2,16.759999999999998,8.379999999999999,0,8.379999999999999,0.1193317422434367,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-16,3,17.2,5.733333333333333,0,5.733333333333333,0.1744186046511628,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-17,4,14.88,3.72,0,3.72,0.2688172043010752,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-18,3,25.61,6.4025,0,8.536666666666667,0.1171417415072237,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-19,5,50.54,10.108,0,10.108,0.0989315393747526,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-20,4,25.93,6.4825,1,6.4825,0.154261473197069,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-21,4,32.16,8.04,1,8.04,0.1243781094527363,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-22,3,27.84,9.28,0,9.28,0.1077586206896551,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-23,3,40.23,13.410000000000002,0,13.409999999999998,0.0745712155108128,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-24,3,25.93,8.643333333333333,0,8.643333333333333,0.1156961048978017,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-25,4,31.31,6.262,0,7.8275,0.1277547109549664,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-26,3,40.99,10.2475,0,13.663333333333334,0.0731885825811173,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-27,4,25.61,6.4025,1,6.4025,0.1561889886762983,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-28,4,36.57,9.1425,1,9.1425,0.109379272627837,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-29,1,6.94,6.94,0,6.94,0.1440922190201729,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut Jnah,2025-12-01,2,16.7,8.35,0,8.35,0.1197604790419161,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-02,2,15.33,7.665,0,7.665,0.1304631441617743,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-03,3,23.05,7.683333333333334,0,7.683333333333334,0.1301518438177874,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-04,2,17.0,8.5,0,8.5,0.1176470588235294,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-05,2,15.08,7.54,0,7.54,0.1326259946949602,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-06,3,32.93,10.976666666666668,1,10.976666666666668,0.0911023382933495,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-07,3,16.45,5.483333333333333,1,5.483333333333333,0.182370820668693,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-08,2,30.75,15.375,0,15.375,0.065040650406504,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-09,2,14.03,7.015,0,7.015,0.142551674982181,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-10,2,18.03,9.015,0,9.015,0.1109262340543538,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-11,3,18.9,6.3,0,6.3,0.1587301587301587,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-12,2,12.86,4.286666666666667,0,6.43,0.1555209953343701,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-13,3,17.810000000000002,5.936666666666667,1,5.936666666666667,0.1684446939921392,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-14,2,16.15,8.075,1,8.075,0.1238390092879257,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-15,3,15.41,3.8525,0,5.136666666666667,0.1946787800129786,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-16,3,22.13,7.376666666666666,0,7.376666666666666,0.1355625847266154,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-17,3,21.4,7.133333333333333,0,7.133333333333333,0.1401869158878504,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-18,2,8.73,4.365,0,4.365,0.2290950744558992,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-19,3,5.46,1.365,0,1.82,0.5494505494505495,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-20,3,21.49,7.163333333333334,1,7.163333333333333,0.1395998138669148,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-21,2,15.1,7.550000000000001,1,7.55,0.1324503311258278,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-22,2,15.03,7.515000000000001,0,7.515,0.1330671989354624,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-23,4,29.68,5.936,0,7.42,0.1347708894878706,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-24,2,16.76,8.38,0,8.38,0.1193317422434367,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-25,3,23.18,7.726666666666667,0,7.726666666666667,0.1294219154443485,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-26,4,26.86,6.715,0,6.715,0.1489203276247207,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-27,3,24.26,8.086666666666668,1,8.086666666666668,0.1236603462489694,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-28,4,27.13,6.7825,1,6.7825,0.1474382602285293,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Conut Jnah,2025-12-29,3,23.54,7.846666666666667,0,7.846666666666667,0.1274426508071368,623597658.93,623597658.93,0.2842708080436206,1,1.0,top,1.0,1137869256.046,2878191130.49,363540268.13,995990224.7033108,0.8269399710874166
Main Street Coffee,2025-12-01,4,39.010000000000005,6.501666666666668,0,9.7525,0.102537810817739,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-02,5,40.38,8.075999999999999,0,8.076,0.1238236750866765,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-03,4,24.68,6.17,0,6.17,0.1620745542949757,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-04,3,19.4,3.88,0,6.466666666666666,0.1546391752577319,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-05,4,36.72,6.12,0,9.18,0.1089324618736383,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-06,5,45.37,9.074,1,9.074,0.1102049812651531,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-07,5,46.89,9.378,1,9.378,0.1066325442525058,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-08,3,25.24,8.413333333333332,0,8.413333333333332,0.1188589540412044,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-09,3,24.67,8.223333333333334,0,8.223333333333334,0.1216051884880421,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-10,2,16.85,8.425,0,8.425,0.1186943620178041,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-11,4,26.82,5.364,0,6.705,0.1491424310216256,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-12,4,34.8,8.7,0,8.7,0.1149425287356322,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-13,4,39.29,9.8225,1,9.8225,0.1018070755917536,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-14,4,42.11,10.5275,1,10.5275,0.0949893137022085,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-15,4,22.15,5.5375000000000005,0,5.5375,0.1805869074492099,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-16,3,29.21,9.736666666666666,0,9.736666666666666,0.1027045532351934,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-17,4,48.41,9.682,0,12.1025,0.0826275562900227,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-18,5,32.05,4.578571428571428,0,6.409999999999999,0.15600624024961,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-19,4,37.42,9.355,0,9.355,0.1068947087119187,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-20,5,64.9,10.816666666666668,1,12.98,0.0770416024653312,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-21,3,29.450000000000003,9.816666666666668,1,9.816666666666668,0.1018675721561969,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-22,4,31.74,5.29,0,7.935,0.1260239445494644,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-23,4,34.83,8.7075,0,8.7075,0.1148435256962388,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-24,3,19.42,6.473333333333334,0,6.473333333333334,0.1544799176107106,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-25,3,11.91,3.97,0,3.97,0.2518891687657431,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-26,5,49.5,7.071428571428571,0,9.9,0.101010101010101,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-27,3,32.489999999999995,10.829999999999998,1,10.829999999999998,0.0923361034164358,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-28,5,20.9,4.18,1,4.18,0.2392344497607655,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
Main Street Coffee,2025-12-29,4,33.46,5.576666666666667,0,8.365,0.1195457262402869,579893871.34,579893871.34,0.2643481690874493,2,0.75,mid,1.0,1328045342.5875,3074216293.59,145842540.35,1243279734.3872018,2.4029644468251745
